year,population,Annual_Average_CPI_U,CPI_Ratio,population_ratio
2020,335942003,258.8,1,1
2019,334319671,255.7,0.988021638,1.004852637
2018,332140037,251.1,0.970247295,1.011446877
2017,329791231,245.1,0.947063369,1.018650502
2016,327210198,240,0.927357032,1.026685614
2015,324607776,237,0.91576507,1.034916684
2014,322033964,236.7,0.914605873,1.043188112
2013,319375166,233,0.900309119,1.051872652
2012,316651321,229.6,0.887171561,1.060920895
2011,313876608,224.9,0.869010819,1.070299584
2010,311182845,218.1,0.842735703,1.079564662
2009,308512035,214.5,0.828825348,1.088910528
2008,305694910,215.3,0.831916538,1.09894536
2007,302743399,207.3,0.801004637,1.109659217
2006,299753098,201.6,0.778979907,1.120729044
2005,296842670,195.3,0.754636785,1.131717361
2004,293947885,188.9,0.729907264,1.14286246
2003,291109820,184,0.710973725,1.154004365
2002,288350252,179.9,0.695131376,1.165048411
2001,285470493,177.1,0.68431221,1.176801145
2000,282398554,172.2,0.665378671,1.189602419
1999,279181581,166.6,0.64374034,1.203310053
1998,275835018,163,0.629829985,1.217909189
1997,272395438,160.5,0.620170015,1.233287919
1996,268984347,156.9,0.60625966,1.248927704
1995,265660556,152.4,0.588871716,1.264553564
1994,262273589,148.2,0.572642968,1.280883845
1993,258779753,144.5,0.558346213,1.298177308
1992,255175339,140.3,0.542117465,1.316514379
1991,251560189,136.2,0.526275116,1.335433895
1990,248083732,130.7,0.505023184,1.354147651
1989,244954094,124,0.479134467,1.371448819
1988,242287814,118.3,0.457109737,1.386541062
1987,239853168,113.6,0.438948995,1.400615242
1986,237512783,109.6,0.423493045,1.414416516
1985,235146182,107.6,0.41576507,1.428651744
1984,232766280,103.9,0.401468315,1.44325889
1983,230389964,99.6,0.384853168,1.458145126
1982,228001418,96.5,0.372874807,1.473420674
1981,225654008,90.9,0.351236476,1.488748221
1980,223140018,82.4,0.318392581,1.505521089
